probe	group	case	expected	observed	status
release	art types	calligraphicBrush at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 3.98e-01 pt; source geometry unchanged	FAIL
release	art types	artBrush at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 1.05e+00 pt; source geometry unchanged	FAIL
release	art types	patternBrush at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 2.68e+00 pt; source geometry unchanged	FAIL
release	art types	rotatedRect at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	scaledRect at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	reflectedRect at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	preShearedRect at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	tinyPath at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	hugePath at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	farFromOrigin at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	negativeCoords at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	zeroHeight at 30 deg, axis 0	matches Illustrator's own shear, source untouched	Illustrator's own shear reported success but left the oracle untouched after three attempts; nothing to compare against	INCONCLUSIVE
release	art types	zeroWidth at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	singleAnchor at 30 deg, axis 0	matches Illustrator's own shear, source untouched	Illustrator's own shear reported success but left the oracle untouched after three attempts; nothing to compare against	INCONCLUSIVE
release	art types	manyChildren at 30 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	plainRect at -20 deg, axis 90	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	plainRect at 45 deg, axis 37.5	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	spike at -20 deg, axis 90	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	spike at 45 deg, axis 37.5	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	mixedGroup at -20 deg, axis 90	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	mixedGroup at 45 deg, axis 37.5	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	pointText at -20 deg, axis 90	matches Illustrator's own shear, source untouched	largest difference from the native result 4.88e-04 pt; source geometry unchanged	FAIL
release	art types	pointText at 45 deg, axis 37.5	matches Illustrator's own shear, source untouched	largest difference from the native result 9.77e-04 pt; source geometry unchanged	FAIL
release	art types	compound at -20 deg, axis 90	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	compound at 45 deg, axis 37.5	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	clipGroup at -20 deg, axis 90	matches Illustrator's own shear, source untouched	largest difference from the native result 7.28e+00 pt; source geometry unchanged	FAIL
release	art types	clipGroup at 45 deg, axis 37.5	matches Illustrator's own shear, source untouched	largest difference from the native result 1.60e+01 pt; source geometry unchanged	FAIL
release	art types	plainRect at 0 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	plainRect at 0.000001 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 1.05e-06 pt; source geometry unchanged	FAIL
release	art types	plainRect at 0.001 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 1.05e-03 pt; source geometry unchanged	FAIL
release	art types	plainRect at 88 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	plainRect at 88.9 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	plainRect at 89 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	plainRect at -89 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 0.00e+00 pt; source geometry unchanged	PASS
release	art types	plainRect at -0.001 deg, axis 0	matches Illustrator's own shear, source untouched	largest difference from the native result 1.05e-03 pt; source geometry unchanged	FAIL
