Registered live effects: 94
idx	name	title	version	inputPrefs	styleFlags
39	PSAdapter_plugin_Plst	Plaster	1.0	0x0	0x2 PostEffect
40	PSAdapter_plugin_Phtc	Photocopy	1.0	0x0	0x2 PostEffect
41	PSAdapter_plugin_Ptch	Patchwork	1.0	0x0	0x2 PostEffect
42	PSAdapter_plugin_PltK	Palette Knife	1.0	0x0	0x2 PostEffect
43	PSAdapter_plugin_PntD	Paint Daubs	1.0	0x0	0x2 PostEffect
44	PSAdapter_plugin_OcnR	Ocean Ripple	1.0	0x0	0x2 PostEffect
45	PSAdapter_plugin_NtPr	Note Paper	1.0	0x0	0x2 PostEffect
46	PSAdapter_plugin_NGlw	Neon Glow	1.0	0x0	0x2 PostEffect
47	PSAdapter_plugin_MscT	Mosaic Tiles	1.0	0x0	0x2 PostEffect
48	PSAdapter_plugin_InkO	Ink Outlines	1.0	0x0	0x2 PostEffect
49	PSAdapter_plugin_HlfS	Halftone Pattern	1.0	0x0	0x2 PostEffect
50	PSAdapter_plugin_GraP	Graphic Pen	1.0	0x0	0x2 PostEffect
51	PSAdapter_plugin_Grn 	Grain	1.0	0x0	0x2 PostEffect
52	PSAdapter_plugin_GlwE	Glowing Edges	1.0	0x0	0x2 PostEffect
53	PSAdapter_plugin_Gls 	Glass	1.0	0x0	0x2 PostEffect
54	PSAdapter_plugin_Frsc	Fresco	1.0	0x0	0x2 PostEffect
55	PSAdapter_plugin_FlmG	Film Grain	1.0	0x0	0x2 PostEffect
56	PSAdapter_plugin_DryB	Dry Brush	1.0	0x0	0x2 PostEffect
57	PSAdapter_plugin_DfsG	Diffuse Glow	1.0	0x0	0x2 PostEffect
58	PSAdapter_plugin_DrkS	Dark Strokes	1.0	0x0	0x2 PostEffect
59	PSAdapter_plugin_Ct  	Cutout	1.0	0x0	0x2 PostEffect
60	PSAdapter_plugin_Crsh	Crosshatch	1.0	0x0	0x2 PostEffect
61	PSAdapter_plugin_Crql	Craquelure	1.0	0x0	0x2 PostEffect
62	PSAdapter_plugin_CntC	Contrayon	1.0	0x0	0x2 PostEffect
63	PSAdapter_plugin_ClrP	Colored Pencil	1.0	0x0	0x2 PostEffect
64	PSAdapter_plugin_Chrm	Chrome	1.0	0x0	0x2 PostEffect
65	PSAdapter_plugin_Chrc	Charcoal	1.0	0x0	0x2 PostEffect
66	PSAdapter_plugin_ChlC	Chalk & Charcoal	1.0	0x0	0x2 PostEffect
67	PSAdapter_plugin_BsRl	Bas Relief	1.0	0x0	0x2 PostEffect
68	PSAdapter_plugin_AngS	Angled Strokes	1.0	0x0	0x2 PostEffect
69	PSAdapter_plugin_AccE	Accented Edges	1.0	0x0	0x2 PostEffect
70	PSAdapter_plugin_GEfc	Effect Gallery	1.0	0x0	0x2 PostEffect
71	Adobe Zigzag	Zig Zag	1.0	0x7	0x820001 PreEffect|ScalableParams|ParallelExecution
72	Adobe Shape Effects	Shape	1.0	0x2ffff	0x30001 PreEffect|SpecialGroupPre|ScalableParams
73	Adobe Scribble and Tweak	Tweak	1.0	0x7	0x20001 PreEffect|ScalableParams
74	Adobe Round Corners	Round Corners	1.0	0x87	0x420001 PreEffect|ScalableParams|DocScaleConvertible
75	Adobe Roughen	Roughen	1.0	0x7	0x820001 PreEffect|ScalableParams|ParallelExecution
76	Adobe Punk and Bloat	Pucker & Bloat	1.0	0x7	0x800001 PreEffect|ParallelExecution
77	Adobe Drop Shadow	Drop Shadow	1.0	0x2ffff	0x960002 PostEffect|ScalableParams|AutoRasterize|AdjustColors|ParallelExecution
78	Adobe Outer Glow	Outer Glow	1.0	0x2ffff	0x960002 PostEffect|ScalableParams|AutoRasterize|AdjustColors|ParallelExecution
79	Adobe Inner Glow	Inner Glow	1.0	0x2ffff	0x960002 PostEffect|ScalableParams|AutoRasterize|AdjustColors|ParallelExecution
80	Adobe Free Distort	Free Distort	1.0	0x87	0x2 PostEffect
81	Adobe Add Arrowheads	Add Arrowheads	1.0	0x20007	0x2 PostEffect
82	Adobe Stroke Offset	Stroke Offset Live Effect	1.0	0x20006	0x800003 StrokeFilter|ParallelExecution
83	Adobe Twirl	Twist	1.0	0x7	0x800001 PreEffect|ParallelExecution
84	Adobe Scribble Fill	Scribble	1.0	0x7	0x420002 PostEffect|ScalableParams|DocScaleConvertible
85	Adobe Rasterize	Rasterize	1.0	0x2ffff	0xc60002 PostEffect|ScalableParams|AutoRasterize|DocScaleConvertible|ParallelExecution
86	Adobe PSL Gaussian Blur	Gaussian Blur	1.0	0x0	0x820002 PostEffect|ScalableParams|ParallelExecution
87	PSAdapter_plugin_GblR	Legacy Gaussian Blur	1.0	0x0	0x20002 PostEffect|ScalableParams
88	Adobe Fuzzy Mask	Feather	1.0	0x2ffff	0x60002 PostEffect|ScalableParams|AutoRasterize
89	Adobe Deform	Warp	1.0	0xffff	0x810001 PreEffect|SpecialGroupPre|ParallelExecution
90	Adobe SVG Filter Effect	SVG Filter	1.0	0x2fdff	0xe0002 PostEffect|ScalableParams|AutoRasterize|SVGFilter
91	Adobe Outline Stroke	Outline Stroke	1.0	0x20007	0x800002 PostEffect|ParallelExecution
92	Adobe Offset Path	Offset Path	1.0	0x20007	0x820001 PreEffect|ScalableParams|ParallelExecution
93	Adobe Transform	Transform	1.0	0x1d47	0x820002 PostEffect|ScalableParams|ParallelExecution
