fixture	shear	axis	geometric	liveVisible	nativeVisible	anchorsBefore	anchorsAfter	applied	oracle
mixedGroup	30	0	100.000000000,600.000000000,400.000000000,500.000000000	71.132486541,620.000000000,463.508529611,480.000000000	71.132486541,620.000000000,463.508529611,480.000000000	100.000000000,500.000000000 100.000000000,600.000000000 200.000000000,600.000000000 200.000000000,500.000000000 300.000000000,500.000000000 300.000000000,600.000000000 400.000000000,600.000000000 400.000000000,500.000000000	100.000000000,500.000000000 100.000000000,600.000000000 200.000000000,600.000000000 200.000000000,500.000000000 300.000000000,500.000000000 300.000000000,600.000000000 400.000000000,600.000000000 400.000000000,500.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
nestedGroup	30	0	100.000000000,600.000000000,380.000000000,420.000000000	68.038475773,600.000000000,417.527767497,420.000000000	68.038475773,600.000000000,417.527767497,420.000000000	100.000000000,500.000000000 100.000000000,600.000000000 200.000000000,600.000000000 200.000000000,500.000000000 260.000000000,480.000000000 260.000000000,560.000000000 380.000000000,560.000000000 380.000000000,480.000000000 120.000000000,420.000000000 120.000000000,460.000000000 320.000000000,460.000000000 320.000000000,420.000000000	100.000000000,500.000000000 100.000000000,600.000000000 200.000000000,600.000000000 200.000000000,500.000000000 260.000000000,480.000000000 260.000000000,560.000000000 380.000000000,560.000000000 380.000000000,480.000000000 120.000000000,420.000000000 120.000000000,460.000000000 320.000000000,460.000000000 320.000000000,420.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
clipGroup	30	0	100.000000000,620.000000000,400.000000000,420.000000000	36.491470389,620.000000000,451.961524227,420.000000000	36.491470389,620.000000000,451.961524227,420.000000000	140.000000000,530.000000000 230.000000000,600.000000000 320.000000000,530.000000000 230.000000000,460.000000000 100.000000000,420.000000000 100.000000000,620.000000000 400.000000000,620.000000000 400.000000000,420.000000000	140.000000000,530.000000000 230.000000000,600.000000000 320.000000000,530.000000000 230.000000000,460.000000000 100.000000000,420.000000000 100.000000000,620.000000000 400.000000000,620.000000000 400.000000000,420.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
transformedGroup	30	0	115.963518638,595.727601882,420.592613035,365.266826929	126.512860517,603.119893901,462.050606863,365.266826929	126.512860517,603.119893901,462.050606863,365.266826929	155.036632515,431.092592081 115.963518638,523.143076990 208.014003547,562.216190867 247.087117424,470.165705958 310.132031145,475.199477303 278.873540043,548.839865230 389.334121934,595.727601882 420.592613035,522.087213955 204.705220599,365.266826929 189.075975048,402.087020893 373.176944866,480.233248647 388.806190416,443.413054684	155.036632515,431.092592081 115.963518638,523.143076990 208.014003547,562.216190867 247.087117424,470.165705958 310.132031145,475.199477303 278.873540043,548.839865230 389.334121934,595.727601882 420.592613035,522.087213955 204.705220599,365.266826929 189.075975048,402.087020893 373.176944866,480.233248647 388.806190416,443.413054684	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
pointText	30	0	100.000000000,650.220703125,269.773925781,571.956054688	77.406738281,650.220703125,292.366699219,571.956054688	77.407226562,650.220703125,292.366210938,571.957031250			Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
areaText	30	0	100.000000000,620.000000000,360.000000000,460.000000000	53.811978465,623.047851562,406.188021535,460.000000000	53.811978465,623.048339844,406.188021535,460.000000000			Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
multilineText	30	0	100.000000000,630.131835938,279.948730469,520.356445312	68.310546875,630.131835938,311.638671875,520.356445312	68.311035156,630.132812500,311.639648438,520.356445312			Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
strokedText	30	0	100.000000000,650.220703125,269.773925781,571.956054688	72.674804688,653.220703125,297.099121094,568.956054688	72.907226562,652.818847656,296.866210938,569.358886719			Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
asymmetricText	30	0	100.000000000,670.308593750,497.816406250,565.956054688	69.875976562,670.308593750,527.940429688,565.956054688	69.876464844,670.309082031,527.941406250,565.956542969			Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
retypedText	30	0	100.000000000,650.220703125,723.654296875,571.956054688	77.406738281,650.220703125,746.247070312,571.956054688	77.407226562,650.220703125,746.247070312,571.957031250			Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
resizedText	30	0	100.000000000,610.043945312,156.591308594,583.956054688	92.469238281,610.043945312,164.122558594,583.956054688	92.470214844,610.044433594,164.123535156,583.957031250			Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
symbolInstance	30	0	140.000000000,580.000000000,268.000000000,492.000000000	113.977786002,580.000000000,294.022213998,492.000000000	113.977786002,580.000000000,294.022213998,492.000000000			Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
embeddedRaster	30	0	100.000000000,600.000000000,300.000000000,480.000000000	65.358983849,600.000000000,334.641016151,480.000000000	65.358983849,600.000000000,334.641016151,480.000000000			Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
gradientFill	30	0	100.000000000,600.000000000,340.000000000,460.000000000	59.585481157,600.000000000,380.414518843,460.000000000	59.585481157,600.000000000,380.414518843,460.000000000	100.000000000,460.000000000 100.000000000,600.000000000 340.000000000,600.000000000 340.000000000,460.000000000	100.000000000,460.000000000 100.000000000,600.000000000 340.000000000,600.000000000 340.000000000,460.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
radialFill	30	0	100.000000000,600.000000000,340.000000000,460.000000000	59.585481157,600.000000000,380.414518843,460.000000000	59.585481157,600.000000000,380.414518843,460.000000000	100.000000000,460.000000000 100.000000000,600.000000000 340.000000000,600.000000000 340.000000000,460.000000000	100.000000000,460.000000000 100.000000000,600.000000000 340.000000000,600.000000000 340.000000000,460.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
patternFill	30	0	100.000000000,600.000000000,340.000000000,460.000000000	59.585481157,600.000000000,380.414518843,460.000000000	59.585481157,600.000000000,380.414518843,460.000000000	100.000000000,460.000000000 100.000000000,600.000000000 340.000000000,600.000000000 340.000000000,460.000000000	100.000000000,460.000000000 100.000000000,600.000000000 340.000000000,600.000000000 340.000000000,460.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
calligraphicBrush	30	0	100.000000000,620.000000000,340.000000000,500.000000000	62.467910974,622.503357837,319.743877915,497.507055867	62.865836987,622.502760827,319.384944790,497.482430110	100.000000000,500.000000000 200.000000000,620.000000000 340.000000000,520.000000000	100.000000000,500.000000000 200.000000000,620.000000000 340.000000000,520.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
artBrush	30	0	100.000000000,620.000000000,340.000000000,500.000000000	64.339473623,621.107788086,319.625930516,501.123779297	64.343811035,622.153442383,319.139465332,501.361907959	100.000000000,500.000000000 200.000000000,620.000000000 340.000000000,520.000000000	100.000000000,500.000000000 200.000000000,620.000000000 340.000000000,520.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
patternBrush	30	0	100.000000000,620.000000000,340.000000000,500.000000000	57.483960411,645.315791043,327.959992535,491.485022768	57.768556253,645.268659801,327.031446376,489.289642600	100.000000000,500.000000000 200.000000000,620.000000000 340.000000000,520.000000000	100.000000000,500.000000000 200.000000000,620.000000000 340.000000000,520.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
rotatedRect	30	0	84.027547827,648.099633704,315.972452173,431.900366296	76.947285664,648.099633704,323.052714336,431.900366296	76.947285664,648.099633704,323.052714336,431.900366296	156.245352327,431.900366296 84.027547827,527.736626204 243.754647673,648.099633704 315.972452173,552.263373796	156.245352327,431.900366296 84.027547827,527.736626204 243.754647673,648.099633704 315.972452173,552.263373796	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
scaledRect	30	0	20.000000000,576.000000000,380.000000000,504.000000000	-0.784609691,576.000000000,400.784609691,504.000000000	-0.784609691,576.000000000,400.784609691,504.000000000	20.000000000,504.000000000 20.000000000,576.000000000 380.000000000,576.000000000 380.000000000,504.000000000	20.000000000,504.000000000 20.000000000,576.000000000 380.000000000,576.000000000 380.000000000,504.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
reflectedRect	30	0	100.000000000,610.000000000,300.000000000,500.000000000	88.245735195,610.000000000,325.980762114,500.000000000	88.245735195,610.000000000,325.980762114,500.000000000	300.000000000,600.000000000 100.000000000,610.000000000 120.000000000,500.000000000	300.000000000,600.000000000 100.000000000,610.000000000 120.000000000,500.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
preShearedRect	30	0	78.161785944,600.000000000,321.838214056,480.000000000	43.520769793,600.000000000,356.479230207,480.000000000	43.520769793,600.000000000,356.479230207,480.000000000	78.161785944,480.000000000 121.838214056,600.000000000 321.838214056,600.000000000 278.161785944,480.000000000	78.161785944,480.000000000 121.838214056,600.000000000 321.838214056,600.000000000 278.161785944,480.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
tinyPath	30	0	100.000000000,600.000000000,100.010000000,599.994000000	99.998267949,600.000000000,100.011732051,599.994000000	99.998267949,600.000000000,100.011732051,599.994000000	100.000000000,599.994000000 100.000000000,600.000000000 100.010000000,600.000000000 100.010000000,599.994000000	100.000000000,599.994000000 100.000000000,600.000000000 100.010000000,600.000000000 100.010000000,599.994000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
hugePath	30	0	-4000.000000000,4000.000000000,4000.000000000,-1000.000000000	-5443.375672974,4000.000000000,5443.375672974,-1000.000000000	-5443.375672974,4000.000000000,5443.375672974,-1000.000000000	-4000.000000000,-1000.000000000 -4000.000000000,4000.000000000 4000.000000000,4000.000000000 4000.000000000,-1000.000000000	-4000.000000000,-1000.000000000 -4000.000000000,4000.000000000 4000.000000000,4000.000000000 4000.000000000,-1000.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
farFromOrigin	30	0	4000.000000000,3000.000000000,4200.000000000,2880.000000000	3965.358983849,3000.000000000,4234.641016151,2880.000000000	3965.358983849,3000.000000000,4234.641016151,2880.000000000	4000.000000000,2880.000000000 4000.000000000,3000.000000000 4200.000000000,3000.000000000 4200.000000000,2880.000000000	4000.000000000,2880.000000000 4000.000000000,3000.000000000 4200.000000000,3000.000000000 4200.000000000,2880.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
negativeCoords	30	0	-800.000000000,-400.000000000,-600.000000000,-520.000000000	-834.641016151,-400.000000000,-565.358983849,-520.000000000	-834.641016151,-400.000000000,-565.358983849,-520.000000000	-800.000000000,-520.000000000 -800.000000000,-400.000000000 -600.000000000,-400.000000000 -600.000000000,-520.000000000	-800.000000000,-520.000000000 -800.000000000,-400.000000000 -600.000000000,-400.000000000 -600.000000000,-520.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
zeroHeight	30	0	100.000000000,600.000000000,300.000000000,600.000000000	100.000000000,602.000000000,300.000000000,598.000000000	100.000000000,602.000000000,300.000000000,598.000000000	100.000000000,600.000000000 300.000000000,600.000000000	100.000000000,600.000000000 300.000000000,600.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	did not move
zeroWidth	30	0	200.000000000,620.000000000,200.000000000,500.000000000	163.626933041,621.000000000,236.373066959,499.000000000	163.626933041,621.000000000,236.373066959,499.000000000	200.000000000,500.000000000 200.000000000,620.000000000	200.000000000,500.000000000 200.000000000,620.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	moved
singleAnchor	30	0	200.000000000,600.000000000,200.000000000,600.000000000	200.000000000,600.000000000,200.000000000,600.000000000	200.000000000,600.000000000,200.000000000,600.000000000	200.000000000,600.000000000	200.000000000,600.000000000	Applied "VulpesNexus Shear" to 1 of 1 objects. 	did not move
